advert_id,nm_id,primary_keyword,target_grade,keyword,is_primary,shows,clicks,orders,ctr_pct,cpc_rub,spend_rub,bid_rub,status,retail_price_rub,cost_price_rub,margin_pct,max_drr_pct,parsed_position,keywords_synced_at
33206346,754549033,перчатки для уборки,top_1_3,перчатки внутри хлопок,False,20,11,4,55.0,0.64,7.04,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для окон без разводов и средств,False,19,0,0,0.0,,0.0,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки резиновые s,False,19,3,3,15.79,2.22,6.66,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
35098216,754606396,мочалка варежка для тела,top_1_3,мочалки,False,19,1,0,5.26,1.52,1.52,,pending_100_shows,246.0,,,15.0,,2026-07-06T11:42:31.435927+00:00
35098216,754606396,мочалка варежка для тела,top_1_3,перчатка скраб для тела,False,19,2,0,10.53,0.76,1.52,,pending_100_shows,246.0,,,15.0,,2026-07-06T11:42:31.435927+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,салфетки многоразовые в рулоне пенящиеся,False,19,5,0,26.32,1.9,9.5,5.0,pending_100_shows,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки универсальные суперпрочные,False,18,0,0,0.0,,0.0,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки прочные виниловые,False,18,5,0,27.78,1.26,6.3,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
37636194,1085061548,салфетки для кухни,top_1_3,салфетка,False,18,0,0,0.0,,0.0,,pending_100_shows,235.0,,,15.0,,2026-07-06T11:42:56.036228+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки резиновые хозяйственные m,False,17,1,0,5.88,5.95,5.95,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетка для мытья стекол и зеркал без разводов,False,17,1,0,5.88,5.95,5.95,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки корея,False,17,0,0,0.0,,0.0,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки хозяйственные s,False,17,2,0,11.76,2.98,5.96,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки хозяйственные резиновые прочные для уборки,False,17,0,1,0.0,,0.0,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,абразивные салфетки для кухни,False,17,0,0,0.0,,0.0,,pending_100_shows,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31275686,624468743,перчатки для уборки,top_1_3,резиновые перчатки для уборки,False,16,2,0,12.5,6.4,12.8,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетки для зеркал и стекол без разводов,False,16,1,0,6.25,5.6,5.6,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для стекол без разводов и средств корея,False,16,3,0,18.75,1.87,5.61,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки для мытья посуды прочные,False,16,1,0,6.25,5.6,5.6,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки резиновые сверхпрочные,False,16,1,0,6.25,5.6,5.6,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки садовые женские,False,16,0,0,0.0,,0.0,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,полотенца для уборки в рулоне многоразовые,False,16,4,0,25.0,2.4,9.6,,pending_100_shows,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,корейская тряпка для стекол и зеркал,False,15,1,0,6.67,5.25,5.25,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетки для чистки стекол и зеркал,False,15,2,0,13.33,2.63,5.26,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для уборки виниловые,False,15,4,0,26.67,1.88,7.52,5.0,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для химии,False,15,1,0,6.67,5.25,5.25,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки хозяйственные белый цвета,False,15,6,0,40.0,0.88,5.28,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетка для стекол без разводов корея,False,14,3,0,21.43,1.63,4.89,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
